Title
 Hoodies Under Blazers
 Women’s Oversized Bomber Jackets
 Cropped Cardigans
 Casual Trench
 Boiler Suits
 Fantasy Florals
 Puff Sleeves
 Colour Blocking
 Monochrome Matrix
 Sickly Sweets Pastels
 Tractor Trek-sole Boots
 Chunky Loafers
 Maxies
 Vests
 Voluminous Sleeves and Shoulders
 Sash Belt-dress
 Bralettes
 Bucket Hats
 Matching Sets
 Hot Goth
 Candy-coloured Sweatpants
 Mesh Shirts
 White Knee-high Boots
 Oversized Pants
 Shackets
 Bubblegum Pink
 Tiger Print
 Disco Ball
 Loud Logos
 Upcycled Fashion Trend
 Cruelty-free Fashion Trend
 Pre-owned Garments Trend
 Vegan Leather Trend
 Custom-made (Slow Fashion Trend)
 Recycled Apparel Trend (Plastics and Textiles)
 Lab-made Fashion Trend
